filename,reference,title
index.rst,,Godot Docs – *4.4* branch
class_astar2d.rst,class_AStar2D,AStar2D
class_rdvertexattribute.rst,class_RDVertexAttribute,RDVertexAttribute
class_aabb.rst,class_AABB,AABB
class_colorpicker.rst,class_ColorPicker,ColorPicker
class_inputeventmagnifygesture.rst,class_InputEventMagnifyGesture,InputEventMagnifyGesture
class_collisionshape2d.rst,class_CollisionShape2D,CollisionShape2D
class_visualshadernodefloatop.rst,class_VisualShaderNodeFloatOp,VisualShaderNodeFloatOp
class_packedstringarray.rst,class_PackedStringArray,PackedStringArray
class_occluderinstance3d.rst,class_OccluderInstance3D,OccluderInstance3D
class_navigationmeshgenerator.rst,class_NavigationMeshGenerator,NavigationMeshGenerator
class_visualshadernodestep.rst,class_VisualShaderNodeStep,VisualShaderNodeStep
class_heightmapshape3d.rst,class_HeightMapShape3D,HeightMapShape3D
class_subviewport.rst,class_SubViewport,SubViewport
class_animationmixer.rst,class_AnimationMixer,AnimationMixer
class_visualshadernodeparticleconevelocity.rst,class_VisualShaderNodeParticleConeVelocity,VisualShaderNodeParticleConeVelocity
class_projection.rst,class_Projection,Projection
class_curvetexture.rst,class_CurveTexture,CurveTexture
class_inputeventshortcut.rst,class_InputEventShortcut,InputEventShortcut
class_generic6dofjoint3d.rst,class_Generic6DOFJoint3D,Generic6DOFJoint3D
class_editorpaths.rst,class_EditorPaths,EditorPaths
class_curve.rst,class_Curve,Curve
class_lightmapprobe.rst,class_LightmapProbe,LightmapProbe
class_oggpacketsequenceplayback.rst,class_OggPacketSequencePlayback,OggPacketSequencePlayback
class_skin.rst,class_Skin,Skin
class_visualshadernodevec3parameter.rst,class_VisualShaderNodeVec3Parameter,VisualShaderNodeVec3Parameter
class_capsuleshape2d.rst,class_CapsuleShape2D,CapsuleShape2D
class_openxrinteractionprofilemetadata.rst,class_OpenXRInteractionProfileMetadata,OpenXRInteractionProfileMetadata
class_texturerect.rst,class_TextureRect,TextureRect
class_visualshadernodevec4parameter.rst,class_VisualShaderNodeVec4Parameter,VisualShaderNodeVec4Parameter
class_button.rst,class_Button,Button
class_subviewportcontainer.rst,class_SubViewportContainer,SubViewportContainer
class_importermeshinstance3d.rst,class_ImporterMeshInstance3D,ImporterMeshInstance3D
class_textserverdummy.rst,class_TextServerDummy,TextServerDummy
class_convexpolygonshape3d.rst,class_ConvexPolygonShape3D,ConvexPolygonShape3D
class_xmlparser.rst,class_XMLParser,XMLParser
class_audiolistener3d.rst,class_AudioListener3D,AudioListener3D
class_audiobuslayout.rst,class_AudioBusLayout,AudioBusLayout
class_imageformatloader.rst,class_ImageFormatLoader,ImageFormatLoader
class_editortranslationparserplugin.rst,class_EditorTranslationParserPlugin,EditorTranslationParserPlugin
class_visualshadernodetexturesdf.rst,class_VisualShaderNodeTextureSDF,VisualShaderNodeTextureSDF
class_cpuparticles2d.rst,class_CPUParticles2D,CPUParticles2D
class_shaderglobalsoverride.rst,class_ShaderGlobalsOverride,ShaderGlobalsOverride
class_resourceimportercsvtranslation.rst,class_ResourceImporterCSVTranslation,ResourceImporterCSVTranslation
class_webrtcdatachannel.rst,class_WebRTCDataChannel,WebRTCDataChannel
class_gltfskeleton.rst,class_GLTFSkeleton,GLTFSkeleton
class_inputeventjoypadbutton.rst,class_InputEventJoypadButton,InputEventJoypadButton
class_marshalls.rst,class_Marshalls,Marshalls
class_visualshadernodegroupbase.rst,class_VisualShaderNodeGroupBase,VisualShaderNodeGroupBase
class_csgpolygon3d.rst,class_CSGPolygon3D,CSGPolygon3D
class_instanceplaceholder.rst,class_InstancePlaceholder,InstancePlaceholder
class_physicalbone3d.rst,class_PhysicalBone3D,PhysicalBone3D
class_visualshadernodeuintconstant.rst,class_VisualShaderNodeUIntConstant,VisualShaderNodeUIntConstant
class_vehiclewheel3d.rst,class_VehicleWheel3D,VehicleWheel3D
class_semaphore.rst,class_Semaphore,Semaphore
class_parallaxlayer.rst,class_ParallaxLayer,ParallaxLayer
class_skeletonmodifier3d.rst,class_SkeletonModifier3D,SkeletonModifier3D
class_performance.rst,class_Performance,Performance
index.rst,doc_class_reference,All classes
class_gpuparticles3d.rst,class_GPUParticles3D,GPUParticles3D
class_camera2d.rst,class_Camera2D,Camera2D
class_hboxcontainer.rst,class_HBoxContainer,HBoxContainer
class_javascriptobject.rst,class_JavaScriptObject,JavaScriptObject
class_visualshadernodetexture3dparameter.rst,class_VisualShaderNodeTexture3DParameter,VisualShaderNodeTexture3DParameter
class_node3dgizmo.rst,class_Node3DGizmo,Node3DGizmo
class_xrorigin3d.rst,class_XROrigin3D,XROrigin3D
class_videostreamplayer.rst,class_VideoStreamPlayer,VideoStreamPlayer
class_weakref.rst,class_WeakRef,WeakRef
class_openxrcompositionlayercylinder.rst,class_OpenXRCompositionLayerCylinder,OpenXRCompositionLayerCylinder
class_methodtweener.rst,class_MethodTweener,MethodTweener
class_editorexportplugin.rst,class_EditorExportPlugin,EditorExportPlugin
class_worldboundaryshape3d.rst,class_WorldBoundaryShape3D,WorldBoundaryShape3D
class_cameraattributespractical.rst,class_CameraAttributesPractical,CameraAttributesPractical
class_gpuparticlescollisionsdf3d.rst,class_GPUParticlesCollisionSDF3D,GPUParticlesCollisionSDF3D
class_audioeffectstereoenhance.rst,class_AudioEffectStereoEnhance,AudioEffectStereoEnhance
class_multiplayerapiextension.rst,class_MultiplayerAPIExtension,MultiplayerAPIExtension
class_gltfskin.rst,class_GLTFSkin,GLTFSkin
class_webrtcdatachannelextension.rst,class_WebRTCDataChannelExtension,WebRTCDataChannelExtension
class_renderscenedatard.rst,class_RenderSceneDataRD,RenderSceneDataRD
class_audioeffectfilter.rst,class_AudioEffectFilter,AudioEffectFilter
class_gpuparticlesattractorbox3d.rst,class_GPUParticlesAttractorBox3D,GPUParticlesAttractorBox3D
class_javaclasswrapper.rst,class_JavaClassWrapper,JavaClassWrapper
class_tree.rst,class_Tree,Tree
class_springbonecollisionplane3d.rst,class_SpringBoneCollisionPlane3D,SpringBoneCollisionPlane3D
class_multimeshinstance2d.rst,class_MultiMeshInstance2D,MultiMeshInstance2D
class_standardmaterial3d.rst,class_StandardMaterial3D,StandardMaterial3D
class_rdpipelinemultisamplestate.rst,class_RDPipelineMultisampleState,RDPipelineMultisampleState
class_scenereplicationconfig.rst,class_SceneReplicationConfig,SceneReplicationConfig
class_vscrollbar.rst,class_VScrollBar,VScrollBar
class_container.rst,class_Container,Container
class_vector3.rst,class_Vector3,Vector3
class_resourceimporterobj.rst,class_ResourceImporterOBJ,ResourceImporterOBJ
class_websocketmultiplayerpeer.rst,class_WebSocketMultiplayerPeer,WebSocketMultiplayerPeer
class_animationnodetimescale.rst,class_AnimationNodeTimeScale,AnimationNodeTimeScale
class_editordebuggersession.rst,class_EditorDebuggerSession,EditorDebuggerSession
class_openxrhand.rst,class_OpenXRHand,OpenXRHand
class_visualshadernodecolorop.rst,class_VisualShaderNodeColorOp,VisualShaderNodeColorOp
class_tweener.rst,class_Tweener,Tweener
class_physicsshapequeryparameters2d.rst,class_PhysicsShapeQueryParameters2D,PhysicsShapeQueryParameters2D
class_navigationmesh.rst,class_NavigationMesh,NavigationMesh
class_bitmap.rst,class_BitMap,BitMap
class_editorsettings.rst,class_EditorSettings,EditorSettings
class_editornode3dgizmoplugin.rst,class_EditorNode3DGizmoPlugin,EditorNode3DGizmoPlugin
class_encodedobjectasid.rst,class_EncodedObjectAsID,EncodedObjectAsID
class_marker3d.rst,class_Marker3D,Marker3D
class_scriptcreatedialog.rst,class_ScriptCreateDialog,ScriptCreateDialog
class_editorsceneformatimporter.rst,class_EditorSceneFormatImporter,EditorSceneFormatImporter
class_separationrayshape3d.rst,class_SeparationRayShape3D,SeparationRayShape3D
class_image.rst,class_Image,Image
class_vector2.rst,class_Vector2,Vector2
class_audioeffectspectrumanalyzer.rst,class_AudioEffectSpectrumAnalyzer,AudioEffectSpectrumAnalyzer
class_inputeventpangesture.rst,class_InputEventPanGesture,InputEventPanGesture
class_textserver.rst,class_TextServer,TextServer
class_webrtcpeerconnectionextension.rst,class_WebRTCPeerConnectionExtension,WebRTCPeerConnectionExtension
class_multiplayerspawner.rst,class_MultiplayerSpawner,MultiplayerSpawner
class_visualshadernodeparticlerandomness.rst,class_VisualShaderNodeParticleRandomness,VisualShaderNodeParticleRandomness
class_gltfphysicsshape.rst,class_GLTFPhysicsShape,GLTFPhysicsShape
class_gdscript.rst,class_GDScript,GDScript
class_texture2d.rst,class_Texture2D,Texture2D
class_curve2d.rst,class_Curve2D,Curve2D
class_resourceimporteroggvorbis.rst,class_ResourceImporterOggVorbis,ResourceImporterOggVorbis
class_visualshadernodecustom.rst,class_VisualShaderNodeCustom,VisualShaderNodeCustom
class_openxractionmap.rst,class_OpenXRActionMap,OpenXRActionMap
class_joint2d.rst,class_Joint2D,Joint2D
class_animationrootnode.rst,class_AnimationRootNode,AnimationRootNode
class_javaclass.rst,class_JavaClass,JavaClass
class_fontvariation.rst,class_FontVariation,FontVariation
class_vseparator.rst,class_VSeparator,VSeparator
class_videostreamplayback.rst,class_VideoStreamPlayback,VideoStreamPlayback
class_mutex.rst,class_Mutex,Mutex
class_cameraserver.rst,class_CameraServer,CameraServer
class_imageformatloaderextension.rst,class_ImageFormatLoaderExtension,ImageFormatLoaderExtension
class_parallax2d.rst,class_Parallax2D,Parallax2D
class_x509certificate.rst,class_X509Certificate,X509Certificate
class_gradient.rst,class_Gradient,Gradient
class_visualshadernodefloatfunc.rst,class_VisualShaderNodeFloatFunc,VisualShaderNodeFloatFunc
class_hseparator.rst,class_HSeparator,HSeparator
class_cylindermesh.rst,class_CylinderMesh,CylinderMesh
class_joint3d.rst,class_Joint3D,Joint3D
class_decal.rst,class_Decal,Decal
class_texture3d.rst,class_Texture3D,Texture3D
class_tubetrailmesh.rst,class_TubeTrailMesh,TubeTrailMesh
class_gltfnode.rst,class_GLTFNode,GLTFNode
class_textedit.rst,class_TextEdit,TextEdit
class_editorscenepostimportplugin.rst,class_EditorScenePostImportPlugin,EditorScenePostImportPlugin
class_curve3d.rst,class_Curve3D,Curve3D
class_lightmapperrd.rst,class_LightmapperRD,LightmapperRD
class_xrcontrollertracker.rst,class_XRControllerTracker,XRControllerTracker
class_visualshadernodebooleanparameter.rst,class_VisualShaderNodeBooleanParameter,VisualShaderNodeBooleanParameter
class_sliderjoint3d.rst,class_SliderJoint3D,SliderJoint3D
class_resourceimportertexture.rst,class_ResourceImporterTexture,ResourceImporterTexture
class_hflowcontainer.rst,class_HFlowContainer,HFlowContainer
class_gltfanimation.rst,class_GLTFAnimation,GLTFAnimation
class_texture2darrayrd.rst,class_Texture2DArrayRD,Texture2DArrayRD
class_portablecompressedtexture2d.rst,class_PortableCompressedTexture2D,PortableCompressedTexture2D
class_navigationpolygon.rst,class_NavigationPolygon,NavigationPolygon
class_visualshadernodetexturesdfnormal.rst,class_VisualShaderNodeTextureSDFNormal,VisualShaderNodeTextureSDFNormal
class_separationrayshape2d.rst,class_SeparationRayShape2D,SeparationRayShape2D
class_range.rst,class_Range,Range
class_audioserver.rst,class_AudioServer,AudioServer
class_nodepath.rst,class_NodePath,NodePath
class_editorexportplatformios.rst,class_EditorExportPlatformIOS,EditorExportPlatformIOS
class_multimesh.rst,class_MultiMesh,MultiMesh
class_marker2d.rst,class_Marker2D,Marker2D
class_openxrbindingmodifier.rst,class_OpenXRBindingModifier,OpenXRBindingModifier
class_material.rst,class_Material,Material
class_hscrollbar.rst,class_HScrollBar,HScrollBar
class_editorexportplatformweb.rst,class_EditorExportPlatformWeb,EditorExportPlatformWeb
class_textserveradvanced.rst,class_TextServerAdvanced,TextServerAdvanced
class_engineprofiler.rst,class_EngineProfiler,EngineProfiler
class_uniformsetcacherd.rst,class_UniformSetCacheRD,UniformSetCacheRD
class_physicsshapequeryparameters3d.rst,class_PhysicsShapeQueryParameters3D,PhysicsShapeQueryParameters3D
class_visualshadernodedeterminant.rst,class_VisualShaderNodeDeterminant,VisualShaderNodeDeterminant
class_canvasmodulate.rst,class_CanvasModulate,CanvasModulate
class_atlastexture.rst,class_AtlasTexture,AtlasTexture
class_audiostreamplaybackpolyphonic.rst,class_AudioStreamPlaybackPolyphonic,AudioStreamPlaybackPolyphonic
class_tween.rst,class_Tween,Tween
class_rdshadersource.rst,class_RDShaderSource,RDShaderSource
class_animationnodestatemachine.rst,class_AnimationNodeStateMachine,AnimationNodeStateMachine
class_audioeffectpitchshift.rst,class_AudioEffectPitchShift,AudioEffectPitchShift
class_spheremesh.rst,class_SphereMesh,SphereMesh
class_gltfdocumentextension.rst,class_GLTFDocumentExtension,GLTFDocumentExtension
class_popuppanel.rst,class_PopupPanel,PopupPanel
class_visualshadernodeintconstant.rst,class_VisualShaderNodeIntConstant,VisualShaderNodeIntConstant
class_multimeshinstance3d.rst,class_MultiMeshInstance3D,MultiMeshInstance3D
class_gradienttexture2d.rst,class_GradientTexture2D,GradientTexture2D
class_shaderinclude.rst,class_ShaderInclude,ShaderInclude
class_scriptlanguage.rst,class_ScriptLanguage,ScriptLanguage
class_visualshadernodemultiplyadd.rst,class_VisualShaderNodeMultiplyAdd,VisualShaderNodeMultiplyAdd
class_visualshadernodescreennormalworldspace.rst,class_VisualShaderNodeScreenNormalWorldSpace,VisualShaderNodeScreenNormalWorldSpace
class_textserverfallback.rst,class_TextServerFallback,TextServerFallback
class_visualshadernodeuintfunc.rst,class_VisualShaderNodeUIntFunc,VisualShaderNodeUIntFunc
class_audiostreamplayback.rst,class_AudioStreamPlayback,AudioStreamPlayback
class_textmesh.rst,class_TextMesh,TextMesh
class_filedialog.rst,class_FileDialog,FileDialog
class_editorresourceconversionplugin.rst,class_EditorResourceConversionPlugin,EditorResourceConversionPlugin
class_input.rst,class_Input,Input
class_animationnodetimeseek.rst,class_AnimationNodeTimeSeek,AnimationNodeTimeSeek
class_editorexportplatformpc.rst,class_EditorExportPlatformPC,EditorExportPlatformPC
class_jsonrpc.rst,class_JSONRPC,JSONRPC
class_basis.rst,class_Basis,Basis
class_polygon2d.rst,class_Polygon2D,Polygon2D
class_charfxtransform.rst,class_CharFXTransform,CharFXTransform
class_visualshadernodevec2constant.rst,class_VisualShaderNodeVec2Constant,VisualShaderNodeVec2Constant
class_visualshadernodevec2parameter.rst,class_VisualShaderNodeVec2Parameter,VisualShaderNodeVec2Parameter
class_viewport.rst,class_Viewport,Viewport
class_worldboundaryshape2d.rst,class_WorldBoundaryShape2D,WorldBoundaryShape2D
class_videostreamtheora.rst,class_VideoStreamTheora,VideoStreamTheora
class_visualshadernodefloatconstant.rst,class_VisualShaderNodeFloatConstant,VisualShaderNodeFloatConstant
class_bonemap.rst,class_BoneMap,BoneMap
class_gpuparticles2d.rst,class_GPUParticles2D,GPUParticles2D
class_resourceimporter.rst,class_ResourceImporter,ResourceImporter
class_camera3d.rst,class_Camera3D,Camera3D
class_skeletonmodification2dphysicalbones.rst,class_SkeletonModification2DPhysicalBones,SkeletonModification2DPhysicalBones
class_environment.rst,class_Environment,Environment
class_animationnodeblend2.rst,class_AnimationNodeBlend2,AnimationNodeBlend2
class_csgcombiner3d.rst,class_CSGCombiner3D,CSGCombiner3D
class_packetpeerstream.rst,class_PacketPeerStream,PacketPeerStream
class_hsplitcontainer.rst,class_HSplitContainer,HSplitContainer
class_visualshadernodecubemapparameter.rst,class_VisualShaderNodeCubemapParameter,VisualShaderNodeCubemapParameter
class_lightoccluder2d.rst,class_LightOccluder2D,LightOccluder2D
class_audiostreammp3.rst,class_AudioStreamMP3,AudioStreamMP3
class_visualshadernodeintfunc.rst,class_VisualShaderNodeIntFunc,VisualShaderNodeIntFunc
class_label3d.rst,class_Label3D,Label3D
class_physicalbone2d.rst,class_PhysicalBone2D,PhysicalBone2D
class_openxranalogthresholdmodifier.rst,class_OpenXRAnalogThresholdModifier,OpenXRAnalogThresholdModifier
class_callable.rst,class_Callable,Callable
class_subtweentweener.rst,class_SubtweenTweener,SubtweenTweener
class_rdpipelinecolorblendstateattachment.rst,class_RDPipelineColorBlendStateAttachment,RDPipelineColorBlendStateAttachment
class_cpuparticles3d.rst,class_CPUParticles3D,CPUParticles3D
class_packedfloat64array.rst,class_PackedFloat64Array,PackedFloat64Array
class_node.rst,class_Node,Node
class_panelcontainer.rst,class_PanelContainer,PanelContainer
class_thread.rst,class_Thread,Thread
class_textline.rst,class_TextLine,TextLine
class_ribbontrailmesh.rst,class_RibbonTrailMesh,RibbonTrailMesh
class_gpuparticlesattractor3d.rst,class_GPUParticlesAttractor3D,GPUParticlesAttractor3D
class_physicsdirectspacestate3dextension.rst,class_PhysicsDirectSpaceState3DExtension,PhysicsDirectSpaceState3DExtension
class_visualshadernodecolorparameter.rst,class_VisualShaderNodeColorParameter,VisualShaderNodeColorParameter
class_visualshadernodetextureparametertriplanar.rst,class_VisualShaderNodeTextureParameterTriplanar,VisualShaderNodeTextureParameterTriplanar
class_openxrhapticvibration.rst,class_OpenXRHapticVibration,OpenXRHapticVibration
class_compressedcubemaparray.rst,class_CompressedCubemapArray,CompressedCubemapArray
class_convexpolygonshape2d.rst,class_ConvexPolygonShape2D,ConvexPolygonShape2D
class_worldenvironment.rst,class_WorldEnvironment,WorldEnvironment
class_visualshadernodetexture2darrayparameter.rst,class_VisualShaderNodeTexture2DArrayParameter,VisualShaderNodeTexture2DArrayParameter
class_visualshadernodevectordecompose.rst,class_VisualShaderNodeVectorDecompose,VisualShaderNodeVectorDecompose
class_audiolistener2d.rst,class_AudioListener2D,AudioListener2D
class_rdshaderspirv.rst,class_RDShaderSPIRV,RDShaderSPIRV
class_referencerect.rst,class_ReferenceRect,ReferenceRect
class_vector4.rst,class_Vector4,Vector4
class_audioeffecteq21.rst,class_AudioEffectEQ21,AudioEffectEQ21
class_xrhandmodifier3d.rst,class_XRHandModifier3D,XRHandModifier3D
class_renderingdevice.rst,class_RenderingDevice,RenderingDevice
class_editorsceneformatimportergltf.rst,class_EditorSceneFormatImporterGLTF,EditorSceneFormatImporterGLTF
class_resourceimporterimage.rst,class_ResourceImporterImage,ResourceImporterImage
class_tabbar.rst,class_TabBar,TabBar
class_csgbox3d.rst,class_CSGBox3D,CSGBox3D
class_capsuleshape3d.rst,class_CapsuleShape3D,CapsuleShape3D
class_compressedtexture2darray.rst,class_CompressedTexture2DArray,CompressedTexture2DArray
class_visualshadernodesmoothstep.rst,class_VisualShaderNodeSmoothStep,VisualShaderNodeSmoothStep
class_xrcamera3d.rst,class_XRCamera3D,XRCamera3D
class_editorresourcepreviewgenerator.rst,class_EditorResourcePreviewGenerator,EditorResourcePreviewGenerator
class_openxrcompositionlayerequirect.rst,class_OpenXRCompositionLayerEquirect,OpenXRCompositionLayerEquirect
class_collisionshape3d.rst,class_CollisionShape3D,CollisionShape3D
class_animationnodeblend3.rst,class_AnimationNodeBlend3,AnimationNodeBlend3
class_editorspinslider.rst,class_EditorSpinSlider,EditorSpinSlider
class_physicalbonesimulator3d.rst,class_PhysicalBoneSimulator3D,PhysicalBoneSimulator3D
class_styleboxline.rst,class_StyleBoxLine,StyleBoxLine
class_packedscene.rst,class_PackedScene,PackedScene
class_rdtextureformat.rst,class_RDTextureFormat,RDTextureFormat
class_resourceimporterscene.rst,class_ResourceImporterScene,ResourceImporterScene
class_inputeventwithmodifiers.rst,class_InputEventWithModifiers,InputEventWithModifiers
class_tileset.rst,class_TileSet,TileSet
class_astar3d.rst,class_AStar3D,AStar3D
class_font.rst,class_Font,Font
class_vsplitcontainer.rst,class_VSplitContainer,VSplitContainer
